feature,gain
APPROVED_DAYS_DECISION_MEAN,48.4
CUM_MEAN(BURO_DAYS_CREDIT_ENDDATE_MEAN),48.4
DIFF(PREV_NAME_CONTRACT_STATUS_Refused_MEAN),48.2
PREV_NAME_PRODUCT_TYPE_walk-in_MEAN,48.0
CUM_MEAN(PREV_CHANNEL_TYPE_Stone_MEAN),47.6
CUM_MEAN(POS_SK_DPD_DEF_MAX),47.6
INSTAL_DPD_SUM,47.6
FLOORSMAX_AVG,47.6
INSTAL_DBD_MAX,47.4
BURO_AMT_CREDIT_SUM_DEBT_SUM,47.4
DIFF(INSTAL_PAYMENT_DIFF_MAX),46.8
PERCENTILE(APPROVED_DAYS_DECISION_MEAN),46.6
POS_MONTHS_BALANCE_MAX,46.6
PREV_AMT_APPLICATION_MEAN,46.0
PERCENTILE(PREV_DAYS_DECISION_MEAN),46.0
POS_NAME_CONTRACT_STATUS_Active_MEAN,45.8
DIFF(NAME_CONTRACT_TYPE_Revolving loans),45.8
CUM_MEAN(APPROVED_AMT_ANNUITY_MAX),45.6
DIFF(PREV_NAME_SELLER_INDUSTRY_Connectivity_MEAN),45.4
CUM_MEAN(OWN_CAR_AGE),45.4
CUM_MEAN(BURO_CREDIT_DAY_OVERDUE_MEAN),45.4
DIFF(PREV_APP_CREDIT_PERC_MIN),45.4
ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,45.2
DIFF(PREV_NAME_PRODUCT_TYPE_walk-in_MEAN),45.2
CC_CNT_DRAWINGS_CURRENT_VAR,45.0
CUM_MEAN(PREV_NAME_PORTFOLIO_POS_MEAN),44.8
ACTIVE_MONTHS_BALANCE_SIZE_MEAN,44.8
CUM_MEAN(OCCUPATION_TYPE_Private service staff),44.8
PERCENTILE(PREV_CODE_REJECT_REASON_SCO_MEAN),44.6
CUM_MEAN(HOUSETYPE_MODE_specific housing),44.6
CUM_MEAN(ACTIVE_DAYS_CREDIT_ENDDATE_MAX),44.4
DIFF(PREV_NAME_TYPE_SUITE_Family_MEAN),44.4
CUM_MEAN(PREV_NAME_SELLER_INDUSTRY_Construction_MEAN),44.4
PERCENTILE(PREV_AMT_CREDIT_MEAN),44.2
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,43.8
CUM_MEAN(CC_AMT_RECIVABLE_VAR),43.6
INSTAL_AMT_PAYMENT_MAX,43.4
PERCENTILE(POS_SK_DPD_DEF_MEAN),43.4
CUM_MEAN(BURO_CREDIT_ACTIVE_Active_MEAN),43.4
CUM_MEAN(PREV_NAME_GOODS_CATEGORY_Auto Accessories_MEAN),43.2
PERCENTILE(INSTAL_AMT_PAYMENT_MAX),43.2
PERCENTILE(INSTAL_PAYMENT_PERC_VAR),43.0
OCCUPATION_TYPE_Drivers,43.0
DEF_30_CNT_SOCIAL_CIRCLE,43.0
PERCENTILE(CC_CNT_DRAWINGS_CURRENT_MAX),43.0
PREV_RATE_DOWN_PAYMENT_MAX,42.8
PERCENTILE(APPROVED_APP_CREDIT_PERC_MIN),42.6
CUM_MEAN(ACTIVE_DAYS_CREDIT_ENDDATE_MEAN),42.0
PERCENTILE(PREV_RATE_DOWN_PAYMENT_MIN),42.0
PERCENTILE(APPROVED_APP_CREDIT_PERC_VAR),42.0
INSTAL_AMT_INSTALMENT_MEAN,41.8
BURO_MONTHS_BALANCE_SIZE_SUM,41.6
PERCENTILE(PREV_NAME_CONTRACT_STATUS_Approved_MEAN),41.4
DIFF(OWN_CAR_AGE),41.0
CUM_MEAN(ORGANIZATION_TYPE_Other),41.0
CUM_MEAN(PREV_NAME_GOODS_CATEGORY_Fitness_MEAN),41.0
CUM_MEAN(APARTMENTS_MODE),41.0
PREV_AMT_DOWN_PAYMENT_MAX,40.8
CUM_MEAN(BURO_AMT_CREDIT_SUM_LIMIT_SUM),40.6
CUM_MEAN(CC_AMT_RECIVABLE_MIN),40.4
DIFF(POS_NAME_CONTRACT_STATUS_Signed_MEAN),40.4
PERCENTILE(PREV_AMT_DOWN_PAYMENT_MEAN),40.4
INSTAL_PAYMENT_PERC_MEAN,40.4
DIFF(INSTAL_AMT_INSTALMENT_MAX),40.2
PERCENTILE(PREV_APP_CREDIT_PERC_VAR),40.2
AMT_INCOME_TOTAL,40.2
PERCENTILE(FLAG_OWN_CAR),39.8
CUM_MEAN(LIVE_REGION_NOT_WORK_REGION),39.6
PREV_APP_CREDIT_PERC_VAR,39.6
CUM_MEAN(FLAG_DOCUMENT_18),39.4
PERCENTILE(PREV_AMT_CREDIT_MAX),39.4
APPROVED_APP_CREDIT_PERC_MIN,39.2
DIFF(FLAG_WORK_PHONE),39.2
CUM_MEAN(PREV_NAME_YIELD_GROUP_high_MEAN),39.0
PERCENTILE(DEF_60_CNT_SOCIAL_CIRCLE),39.0
CUM_MEAN(CC_AMT_RECEIVABLE_PRINCIPAL_MAX),38.8
DIFF(CC_CNT_DRAWINGS_ATM_CURRENT_SUM),38.8
APPROVED_AMT_ANNUITY_MAX,38.8
CUM_MEAN(PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN),38.6
PERCENTILE(NAME_EDUCATION_TYPE_Secondary / secondary special),38.2
PREV_DAYS_DECISION_MEAN,38.2
DIFF(INSTAL_AMT_PAYMENT_MAX),38.2
CUM_MEAN(ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN),38.2
DIFF(REFUSED_APP_CREDIT_PERC_MIN),37.6
POS_SK_DPD_DEF_MEAN,37.6
CUM_MEAN(CC_NAME_CONTRACT_STATUS_Signed_VAR),37.6
CUM_MEAN(NAME_TYPE_SUITE_Children),37.4
ENTRANCES_MEDI,37.2
PERCENTILE(BURO_CREDIT_ACTIVE_Active_MEAN),37.0
CUM_MEAN(CC_AMT_CREDIT_LIMIT_ACTUAL_MAX),37.0
CC_AMT_PAYMENT_CURRENT_SUM,37.0
INSTAL_PAYMENT_PERC_SUM,37.0
CC_AMT_DRAWINGS_ATM_CURRENT_SUM,36.8
APPROVED_AMT_CREDIT_MEAN,36.8
BURO_DAYS_CREDIT_ENDDATE_MIN,36.6
NAME_INCOME_TYPE_State servant,36.6
DIFF(CLOSED_MONTHS_BALANCE_MIN_MIN),36.4
PERCENTILE(NAME_FAMILY_STATUS_Married),36.4
CUM_MEAN(BURO_AMT_CREDIT_SUM_OVERDUE_MEAN),36.4
PERCENTILE(PREV_NAME_PAYMENT_TYPE_XNA_MEAN),36.4
PERCENTILE(PREV_APP_CREDIT_PERC_MAX),36.2
CUM_MEAN(FLAG_DOCUMENT_3),36.2
REFUSED_AMT_ANNUITY_MIN,36.2
PREV_NAME_SELLER_INDUSTRY_Connectivity_MEAN,36.0
